model,yil,km,renk,fiyat,il
Peugeot 301 1.6 BlueHDI Active,2018,78.000 ,Gri,"135.750 TL,133.750 TL",Adıyaman
BMW 3 Serisi 318i Standart,2005,265.000 ,Siyah,133.000 TL,Bilecik
Renault Fluence 1.5 dCi Icon,2014,97.000 ,Bordo,147.500 TL,Sakarya
Volkswagen Passat 1.6 TDi BlueMotion Highline,2015,145.000 ,Kahverengi,"366.500 TL,357.500 TL",İzmir
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,2015,148.000 ,Gri,282.500 TL,Eskişehir
Ford Focus 1.6 TDCi Ghia,2007,226.000 ,Gri (Gümüş),73.500 TL,Balıkesir
Hyundai Accent Blue 1.4 D-CVVT Mode Plus,2016,41.000 ,Beyaz,146.800 TL,Osmaniye
Citroen C-Elysee 1.6 HDi Attraction,2016,137.000 ,Beyaz,"116.000 TL,111.500 TL",İstanbul
Opel Corsa 1.3 CDTI Enjoy,2012,251.000 ,Gri,80.500 TL,İzmir
Volkswagen Polo 1.4 TDi Comfortline,2016,156.000 ,Beyaz,149.750 TL,İzmir
Peugeot 308 1.2 PureTech Allure,2014,162.500 ,Kahverengi,146.750 TL,İstanbul
Toyota Yaris 1.33 Style Red,2015,55.000 ,Kırmızı,158.000 TL,Aydın
Fiat Linea 1.4 Fire Pop,2017,25.750 ,Beyaz,112.500 TL,Muğla
Audi A4 Sedan 2.0 TDI Quattro,2013,185.000 ,Siyah,295.000 TL,Kahramanmaraş
Hyundai i20 1.4 MPI Style,2020,6 ,Beyaz,203.900 TL,Aydın
Volkswagen Bora 1.9 TDi Comfortline,2000,260.000 ,Gri (Gümüş),62.000 TL,Rize
Skoda SuperB 1.6 TDI Active,2017,107.000 ,Siyah,257.500 TL,İstanbul
Ford Focus 1.6 Titanium,2011,190.000 ,Siyah,122.500 TL,İstanbul
Hyundai i20 1.4 CRDi Jump,2013,170.000 ,Beyaz,97.500 TL,İstanbul
Fiat Punto 1.4 Easy S&S,2012,220.000 ,Kırmızı,"61.500 TL,60.500 TL",İstanbul
Peugeot 206 1.4 XT,2003,134.000 ,Kırmızı,"68.750 TL,67.750 TL",İstanbul
Citroen C-Elysee 1.6 BlueHDi Live,2017,155.000 ,Beyaz,112.500 TL,Bursa
Volkswagen Passat 1.6 TDi BlueMotion Trendline,2017,87.000 ,Beyaz,275.000 TL,Bursa
Audi A6 Sedan 2.5 TDI Quattro,2004,266.000 ,Siyah,115.000 TL,İstanbul
Peugeot 307 1.6 Pack,2006,230.000 ,Kırmızı,79.999 TL,İstanbul
Citroen C-Elysee 1.6 HDi Attraction,2013,142.000 ,Beyaz,96.000 TL,Antalya
Hyundai i30 1.6 CRDi Mode,2011,225.000 ,Gri,119.000 TL,Erzincan
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,2015,141.000 ,Füme,"246.000 TL,239.000 TL",Erzincan
Peugeot 206 1.4 X-Line,2004,183.000 ,Kırmızı,"67.750 TL,66.750 TL",İstanbul
BMW 5 Serisi 520i Standart,1998,200.000 ,Siyah,159.750 TL,Uşak
BMW 7 Serisi 728i Long,2001,391.000 ,Gri,155.500 TL,Uşak
Hyundai Getz 1.3 GLS,2005,149.000 ,Gri,68.750 TL,Balıkesir
BMW 3 Serisi 320d Techno Plus,2014,315.000 ,Beyaz,278.000 TL,İzmir
BMW 5 Serisi 520i Prestige,2017,50.750 ,Lacivert,599.750 TL,İstanbul
Fiat Linea 1.3 Multijet Easy,2013,218.000 ,Beyaz,88.000 TL,Gaziantep
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,2015,33.000 ,Beyaz,295.000 TL,Kahramanmaraş
Renault Symbol 1.5 dCi Joy,2016,69.700 ,Beyaz,112.000 TL,Muğla
Opel Astra 1.6 CDTI Enjoy Active,2015,78.000 ,Siyah,127.500 TL,İstanbul
Volkswagen Passat 1.6 FSi Comfortline,2007,238.500 ,Siyah,"96.500 TL,91.000 TL",İstanbul
Honda Civic 1.6 i-VTEC Elegance,2009,146.000 ,Füme,114.850 TL,İstanbul
Volkswagen Golf 1.5 TSi Highline,2019,0 ,Lacivert,345.900 TL,Bolu
Skoda Octavia 1.6 TDI Elegance CR,2014,110.000 ,Beyaz,204.000 TL,İstanbul
Opel Insignia 1.4 T Edition Elegance,2012,150.000 ,Beyaz,151.500 TL,Erzincan
Skoda Octavia 1.6 TDI Elegance CR,2014,110.000 ,Beyaz,203.000 TL,İstanbul
Fiat Egea 1.3 Multijet Easy,2017,126.000 ,Beyaz,121.550 TL,Kocaeli
Renault Laguna 1.6 Privilege,2005,285.000 ,Diğer,61.000 TL,Trabzon
Volkswagen Golf 1.6 TDi BlueMotion Midline Plus,2015,180.000 ,Beyaz,153.750 TL,Muğla
Audi A5 Sportback 2.0 TDI,2012,178.000 ,Beyaz,295.000 TL,İzmir
Peugeot 508 1.6 e-HDi Allure,2011,217.000 ,Füme,135.000 TL,İzmir
Ford B-Max 1.6 Titanium,2013,109.000 ,Beyaz,148.500 TL,İzmir
Volkswagen Passat 2.0 TDi BlueMotion Comfortline,2014,193.000 ,Siyah,197.000 TL,İzmir
Renault Clio 1.4 Expression,2005,287.000 ,Gri,"61.000 TL,59.750 TL",Şanlıurfa
Toyota Corolla 1.4 D-4D Terra,2006,279.000 ,Gri (Gümüş),79.750 TL,Kayseri
Volkswagen Passat 1.4 TSi Trendline,2010,172.000 ,Gri,"155.750 TL,140.000 TL",Tokat
Toyota Corolla 1.4 D-4D Advance,2018,80.000 ,Beyaz,"216.000 TL,213.000 TL",Afyonkarahisar
Ford Focus 1.5 TDCi Trend X,2017,91.633 ,Beyaz,198.500 TL,Malatya
BMW 5 Serisi 520d Exclusive,2011,250.000 ,Siyah,320.000 TL,Aydın
Skoda SuperB 1.6 TDI Prestige,2019,4.500 ,Gri,435.000 TL,Diyarbakır
Opel Astra 1.6 CDTI Design,2017,97.500 ,Siyah,179.500 TL,Diyarbakır
Opel Corsa 1.4 Twinport Enjoy,2011,78.000 ,Beyaz,112.000 TL,Kütahya
Ford Focus 1.6 TDCi Collection,2008,197.000 ,Füme,91.850 TL,Osmaniye
Nissan Micra 1.2 Puzzle,2012,107.000 ,Beyaz,"123.900 TL,121.900 TL",Samsun
Hyundai Accent Blue 1.6 CRDI Mode,2017,100.000 ,Beyaz,154.500 TL,Antalya
Seat Ibiza 1.4 Style,2013,55.000 ,Kırmızı,128.500 TL,Balıkesir
Mercedes - Benz E 180 Exclusive,2018,29.000 ,Lacivert,"724.000 TL,724.000 TL",İstanbul
BMW 5 Serisi 520d xDrive Luxury Line,2018,55.000 ,Füme,1.020.000 TL,İstanbul
Chevrolet Aveo 1.4 SE,2009,48.000 ,Füme,93.500 TL,Konya
Fiat Linea 1.3 Multijet Active Plus,2014,169.000 ,Beyaz,91.750 TL,Ankara
Renault Modus 1.6 Authentique,2006,82.000 ,Kahverengi,98.000 TL,Ankara
Fiat Egea 1.3 Multijet Easy,2016,130.000 ,Beyaz,119.950 TL,İstanbul
Volkswagen Passat 2.0 TDi Highline,2006,345.000 ,Şampanya,110.000 TL,Hatay
Opel Astra 1.6 Edition Plus,2017,54.000 ,Siyah,154.800 TL,Osmaniye
Opel Vectra 1.6 Elegance,2004,224.000 ,Kahverengi,"85.750 TL,84.750 TL",Tokat
Hyundai i20 1.0 T-GDI Style,2020,0 ,Mavi,225.000 TL,Bursa
Hyundai i20 1.2 MPI Style,2016,37.000 ,Beyaz,143.750 TL,Manisa
Opel Insignia 1.6 CDTI Sport,2017,126.000 ,Füme,257.750 TL,Muğla
Citroen C4 1.6 BlueHDi Confort,2016,72.500 ,Beyaz,"176.750 TL,171.750 TL",İstanbul
Volkswagen Golf 1.6 TDi BlueMotion Highline,2014,87.000 ,Siyah,214.750 TL,İstanbul
Mercedes - Benz C 200 BlueTEC Fascination,2015,145.150 ,Siyah,475.750 TL,İstanbul
Volkswagen Polo 1.0 Trendline,2018,90.000 ,Beyaz,156.950 TL,İstanbul
Toyota Auris 1.4 D-4D Elegant,2008,156.000 ,Gri,112.500 TL,Balıkesir
Fiat Egea 1.4 Fire Easy,2019,25.000 ,Şampanya,128.000 TL,Muğla
BMW 5 Serisi 525tds Standart,1998,256.000 ,Gri,92.500 TL,Ankara
Fiat 500 Ailesi 500C 1.2 Gucci,2012,98.400 ,Siyah,159.000 TL,İstanbul
Opel Astra 1.6 Enjoy,2004,198.000 ,Mavi,68.500 TL,Malatya
Fiat 500 Ailesi 1.2 Gucci,2012,98.000 ,Siyah,159.000 TL,İstanbul
Renault Clio 1.5 dCi Icon,2016,198.000 ,Beyaz,135.900 TL,İstanbul
BMW 5 Serisi 525d xDrive Comfort,2012,256.000 ,Beyaz,"364.000 TL,359.000 TL",Ankara
Kia Picanto 1.25 EX,2013,29.000 ,Gri,104.900 TL,İstanbul
Renault Fluence 1.5 dCi Touch,2014,135.110 ,Beyaz,122.500 TL,İstanbul
MINI Cooper 1.5 Pepper,2014,70.000 ,Beyaz,239.000 TL,İstanbul
Mercedes - Benz C 180 Kompressor Avantgarde,2005,227.000 ,Gri,152.750 TL,Denizli
Renault Clio 1.2 Icon,2014,37.000 ,Beyaz,131.800 TL,Osmaniye
Fiat Egea 1.4 Fire Urban Plus,2019,37.000 ,Beyaz,142.500 TL,Aydın
Mercedes - Benz CLA 200 AMG,2019,15.000 ,Gri (metalik),575.000 TL,İstanbul
Chevrolet Evanda 2.0 CDX,2004,115.000 ,Gri,88.500 TL,İstanbul
Fiat Egea 1.3 Multijet Easy,2016,111.000 ,Beyaz,"116.000 TL,113.500 TL",İstanbul
Renault Scenic 1.5 dCi Icon,2013,106.000 ,Siyah,179.500 TL,Konya
Volkswagen Passat 1.9 TDi Comfortline,2003,354.000 ,Yeşil,79.750 TL,Kayseri
Nissan Micra 1.2 Tekna,2008,58.000 ,Kırmızı,96.000 TL,İstanbul
Honda Civic 1.6 Elegance,2007,205.000 ,Gri (Gümüş),132.000 TL,Yozgat
Toyota Corolla 1.6 Advance,2016,112.000 ,Beyaz,172.000 TL,Osmaniye
Renault Megane 1.6 Alize,2003,137.000 ,Şampanya,77.000 TL,Aydın
Audi A3 Sedan 30 TFSI Sport,2020,0 ,Siyah,376.000 TL,Bursa
Toyota Corolla 1.8 Hybrid Flame X-Pack,2020,0 ,Beyaz,309.750 TL,İstanbul
Hyundai Accent Era 1.5 CRDi-VGT Team,2011,160.000 ,Gri,79.950 TL,İstanbul
Volkswagen Polo 1.0 Trendline,2017,119.000 ,Beyaz,127.500 TL,Edirne
Audi A3 Sportback 1.6 TDI Ambiente,2012,190.000 ,Siyah,145.000 TL,İstanbul
Volkswagen Jetta 1.2 TSi Trendline,2015,85.000 ,Beyaz,178.000 TL,Kütahya
Audi A3 Sportback 1.4 TFSI Ambition,2010,231.000 ,Siyah,"137.500 TL,136.000 TL",Antalya
Fiat Egea 1.4 Fire Urban Plus,2020,2 ,Beyaz,154.900 TL,Aydın
Hyundai i20 1.4 CRDi Jump,2013,130.000 ,Beyaz,105.900 TL,Samsun
Hyundai i10 1.0 D-CVVT Style,2014,114.000 ,Beyaz,117.000 TL,Bursa
Volkswagen Polo 1.4 Basicline,2004,90.000 ,Kırmızı,90.750 TL,Muğla
Renault Latitude 1.5 dCi Expression,2013,199.000 ,Beyaz,105.000 TL,İstanbul
Renault Clio 1.5 dCi Touch,2017,73.000 ,Beyaz,163.750 TL,Muğla
Audi A3 Sportback 1.6 TDI Ambiente,2013,107.000 ,Füme,245.750 TL,Uşak
Fiat Linea 1.4 Fire Pop,2014,162.000 ,Gri (Gümüş),87.500 TL,Adıyaman
Mercedes - Benz E 300 D,1988,220.000 ,Siyah,72.500 TL,Hatay
Renault Clio 1.5 dCi Icon,2013,91.000 ,Beyaz,135.950 TL,Mersin
Renault Clio 1.0 TCe Touch,2020,0 ,Beyaz,190.950 TL,Mersin
Renault Symbol 1.5 dCi Joy,2014,130.000 ,Beyaz,98.000 TL,Yozgat
Volkswagen Passat 2.0 TDi Highline,2006,282.100 ,Kahverengi,139.750 TL,İstanbul
Volkswagen Golf 1.4 TSi Comfortline,2016,128.000 ,Beyaz,177.500 TL,Eskişehir
Mercedes - Benz E 250 CDI Edition,2015,106.000 ,Füme,629.000 TL,Bursa
Renault Megane 1.6 Privilege,2006,164.000 ,Bej,103.750 TL,Muğla
Skoda Roomster 1.6 Comfort,2008,175.000 ,Gri,101.000 TL,Rize
Hyundai Accent Era 1.4 Team,2011,165.000 ,Siyah,83.500 TL,Çanakkale
Toyota Corolla 1.33 Life,2013,156.000 ,Beyaz,131.750 TL,Muğla
Fiat Egea 1.6 Multijet Comfort,2017,117.000 ,Beyaz,146.750 TL,Muğla
Opel Insignia 1.6 CDTI Grand Sport Excellence,2020,500 ,Beyaz,"399.000 TL,395.000 TL",Bursa
Ford Focus 1.5 TDCi Titanium,2015,44.000 ,Beyaz,225.000 TL,Manisa
Citroen C5 1.6 e-HDi Confort,2013,153.000 ,Beyaz,"152.500 TL,148.000 TL",Muğla
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,2017,83.000 ,Gri,319.000 TL,Bursa
Mercedes - Benz E 200 Avantgarde,1997,346.000 ,Siyah,94.750 TL,Konya
Renault Fluence 1.5 dCi Icon,2016,112.250 ,Beyaz,166.250 TL,Kastamonu
Hyundai Accent Blue 1.6 CRDI Mode,2014,94.000 ,Beyaz,132.000 TL,Rize
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,2017,92.000 ,Gri,319.000 TL,Bursa
Peugeot 301 1.6 HDi Allure,2016,65.000 ,Yeşil (metalik),107.500 TL,Hatay
Ford Focus 1.6 Ti-VCT Titanium,2018,31.000 ,Beyaz,231.000 TL,Osmaniye
Opel Insignia 1.6 CDTI Grand Sport Enjoy,2020,14.000 ,Beyaz,329.000 TL,Bursa
Volkswagen Jetta 1.6 TDi Comfortline,2012,125.000 ,-,175.000 TL,Samsun
Fiat Punto Grande 1.3 Multijet,2011,185.000 ,Gri,87.500 TL,Aydın
Renault Fluence 1.5 dCi Touch,2016,127.000 ,Siyah,146.490 TL,Hatay
Hyundai Accent Blue 1.6 CRDI Mode Plus,2016,130.678 ,Beyaz,134.990 TL,Hatay
Mercedes - Benz E 180 AMG,2015,119.000 ,Beyaz,515.000 TL,Kayseri
Mercedes - Benz E 180 Edition,2015,119.000 ,Beyaz,515.000 TL,Kayseri
Audi A8 3.7 Quattro,2003,320.000 ,Siyah,167.500 TL,Bursa
Mercedes - Benz CLS 350 CDI BlueEFFICIENCY,2011,44.000 ,Beyaz,705.000 TL,İstanbul
Renault Symbol 1.5 dCi Joy,2015,108.000 ,Beyaz,98.750 TL,Trabzon
Opel Astra 1.4 T Sport,2014,87.000 ,Füme,177.950 TL,Antalya
Skoda Octavia 1.6 TDI Elegance,2012,152.000 ,Beyaz,139.950 TL,Antalya
Renault Symbol 1.5 dCi Joy,2016,115.000 ,Beyaz,108.750 TL,Kocaeli
Renault Megane 1.6 RXT,2001,135.000 ,Gri,80.250 TL,Balıkesir
Ford Focus 1.6 Ghia,2006,197.000 ,Gri,106.000 TL,Balıkesir
Renault Megane 1.6 RXT,2000,129.000 ,Gri,91.000 TL,Balıkesir
BMW 5 Serisi 520d M Sport,2012,218.000 ,Beyaz,365.000 TL,İzmir
Renault Fluence 1.5 dCi Extreme,2012,221.000 ,Beyaz,134.999 TL,Afyonkarahisar
Volkswagen Jetta 1.6 TDi Comfortline,2011,185.000 ,Beyaz,144.999 TL,Afyonkarahisar
Volkswagen Passat 1.6 Comfortline,2006,340.000 ,Gri,198.000 TL,Ankara
Volkswagen Passat 2.0 Comfortline,2005,345.000 ,Gri,195.000 TL,Ankara
Volkswagen Passat 1.6 Comfortline,2006,375.000 ,Kahverengi,198.000 TL,Ankara
Renault Clio 1.2 Icon,2015,114.500 ,Kırmızı,124.900 TL,Balıkesir
Volkswagen VW CC 1.8 TSi,2009,187.000 ,Gri,156.750 TL,Bartın
Volkswagen Polo 1.4 TDi Comfortline,2015,120.000 ,-,145.000 TL,Isparta
Fiat Egea 1.4 Fire Easy,2020,0 ,Beyaz,135.000 TL,Adıyaman
Opel Corsa 1.4 Twinport Enjoy,2012,100.254 ,Gri,121.500 TL,Kilis
Ford Focus 1.5 TDCi Titanium,2016,81.000 ,Beyaz,215.850 TL,Kayseri
Hyundai i20 1.4 MPI Style Plus,2020,0 ,Mavi,219.900 TL,Bursa
Ford Focus 1.6 TDCi Trend X,2013,177.000 ,Gri,140.000 TL,Ankara
Dacia Sandero 1.5 dCi Stepway,2016,102.000 ,Gri,137.000 TL,Ankara
Volkswagen Golf 1.6 TDi BlueMotion Comfortline,2017,44.000 ,Kırmızı,247.500 TL,Uşak
Volkswagen Jetta 1.6 TDi Comfortline,2011,69.500 ,Gri,204.500 TL,İzmir
Volkswagen Golf 1.6 Comfortline,2001,267.000 ,Gri,59.750 TL,İzmir
Toyota Corolla 1.4 D-4D Touch,2016,75.000 ,Beyaz,184.750 TL,İzmir
Volvo S60 1.6 D Premium,2012,190.000 ,Siyah,189.750 TL,İzmir
Fiat Linea 1.3 Multijet Pop,2017,82.000 ,Beyaz,115.000 TL,İzmir
Renault Clio 1.5 dCi Touch,2016,124.000 ,Beyaz,151.800 TL,İzmir
Opel Astra 1.3 CDTI Enjoy Plus,2012,144.000 ,Beyaz,129.500 TL,İstanbul
Dacia Sandero 1.5 dCi Stepway,2016,156.000 ,Kırmızı,113.750 TL,Hakkari
Skoda SuperB 1.6 TDI Active,2017,115.000 ,Gri,266.000 TL,Nevşehir
Renault R 9 1.4 Broadway RL,1998,271.000 ,Beyaz,30.750 TL,Kırklareli
Volkswagen Passat 1.6 TDi BlueMotion Highline,2015,119.000 ,Siyah,409.000 TL,Ankara
Mercedes - Benz E 250 CDI Edition,2015,94.000 ,Beyaz,609.000 TL,Ankara
BMW 5 Serisi 525d xDrive M Sport,2013,149.000 ,Siyah,449.000 TL,Ankara
Peugeot 307 1.4 HDi XR,2004,248.000 ,Gri,67.000 TL,Antalya
Opel Astra 1.3 CDTI Enjoy,2005,245.000 ,Gri,84.000 TL,Antalya
Peugeot 207 1.4 HDi Trendy,2008,230.000 ,Gri,81.900 TL,Antalya
Audi A6 Sedan 1.8 T,2004,330.000 ,Gri,99.850 TL,Kırşehir
Renault Fluence 1.5 dCi Business,2011,85.000 ,Bej,119.950 TL,Ankara
Opel Astra 2.0 GSi,1994,178.000 ,Beyaz,49.950 TL,Ankara
Hyundai i20 1.4 CRDi Jump,2016,148.000 ,Beyaz,117.000 TL,Bursa
Renault Symbol 1.5 dCi Expression,2009,123.000 ,-,77.000 TL,Hatay
Mercedes - Benz C 200 BlueTEC Style,2015,108.000 ,Gri,369.000 TL,Aydın
Volkswagen Golf 1.6 TDi BlueMotion Comfortline,2017,80.000 ,Beyaz,250.000 TL,İstanbul
BMW 4 Serisi 428i M Sport,2014,67.000 ,Beyaz,615.000 TL,Düzce
Toyota Corolla 1.4 D-4D Touch,2017,99.000 ,-,179.000 TL,Ankara
Toyota Yaris 1.5 Fun Special,2019,7.000 ,Beyaz,178.900 TL,İstanbul
Volkswagen Jetta 1.6 TDi Primeline,2011,130.000 ,-,131.500 TL,Aydın
BMW 3 Serisi 320i ED Luxury Line,2016,75.500 ,Mavi,409.000 TL,İstanbul
BMW 5 Serisi 525d xDrive Premium,2015,147.000 ,Siyah,515.900 TL,İstanbul
Porsche Boxster,1998,127.000 ,Gri,239.000 TL,Bursa
BMW 3 Serisi 320i Cabrio,1994,337.000 ,Siyah,97.500 TL,İstanbul
Mercedes - Benz C 180 Comfort 9G-Tronic,2017,16.000 ,Beyaz,499.000 TL,Bursa
Fiat Punto EVO 1.4 Fire Dynamic,2011,160.000 ,Siyah,"87.999 TL,84.999 TL",Kocaeli
Renault Clio 1.5 dCi Icon,2014,90.000 ,Kırmızı,140.000 TL,Kocaeli
Toyota Corolla 1.4 D-4D Comfort,2008,338.500 ,Gri,83.999 TL,Kocaeli
Peugeot 508 1.6 e-HDi Access,2012,150.000 ,Siyah,160.999 TL,Kocaeli
Tofaş Doğan L,1990,161.600 ,-,26.750 TL,İstanbul
Honda Civic 1.6 i-VTEC Dream,2007,267.000 ,Gri,89.500 TL,İstanbul
Toyota Corolla 1.4 D-4D Comfort Extra,2011,171.000 ,-,106.000 TL,Elazığ
Fiat Egea 1.3 Multijet Easy Plus,2016,145.000 ,Beyaz,124.750 TL,Denizli
Opel Corsa 1.3 CDTI Enjoy,2012,150.000 ,Siyah,99.600 TL,Ankara
Fiat Egea 1.3 Multijet Easy Plus,2018,83.990 ,Füme,141.000 TL,Yalova
Fiat Egea 1.6 Multijet Comfort,2017,124.810 ,Beyaz,149.000 TL,Yalova
Volkswagen Scirocco 1.4 TSi Sportline,2011,156.132 ,Gri (titanyum),144.900 TL,Ankara
Hyundai i20 1.4 MPI Elite,2015,26.000 ,Kahverengi,148.900 TL,Ankara
Volkswagen Passat 1.4 TSi BlueMotion Comfortline,2017,86.000 ,Gri,291.500 TL,İstanbul
Audi A6 Sedan 1.8 T,1998,292.000 ,Gri (Gümüş),74.000 TL,Konya
Renault Clio 1.2 Authentique,2007,171.000 ,-,81.000 TL,Sakarya
Renault Fluence 1.5 dCi Business,2011,300.000 ,Gri,82.000 TL,Gaziantep
Renault Symbol 1.4 Expression,2011,132.000 ,Gri,83.850 TL,İzmir
Opel Astra 1.6 CD,2000,192.500 ,-,85.000 TL,İstanbul
Ford Scorpio 2.0 Ghia,1992,230.000 ,Bordo,28.500 TL,İstanbul
Volkswagen Golf 1.6 Comfortline,1999,223.500 ,Mavi,65.900 TL,Sakarya
Chevrolet Cruze 1.6 LT,2011,174.000 ,Beyaz,112.000 TL,Kocaeli
Renault Laguna 2.0 RXT,2000,368.000 ,-,58.000 TL,Mardin
Kia Rio 1.4 EX Comfort,2011,115.000 ,-,85.500 TL,Kocaeli
Fiat Linea 1.3 Multijet Active Plus,2011,184.000 ,-,87.500 TL,Kırıkkale
Chevrolet Cruze 1.4 T LTZ,2013,59.100 ,Beyaz,148.000 TL,İstanbul
Citroen C4 1.6 HDi Attraction,2012,228.000 ,Beyaz,92.800 TL,İstanbul
Opel Vectra 2.0 GL,1990,287.000 ,Beyaz,30.900 TL,Ankara
Renault Megane 1.5 dCi Authentique,2005,233.000 ,Gri,72.000 TL,İstanbul
Renault Clio 1.5 dCi Icon,2014,40.000 ,-,151.000 TL,Zonguldak
Ford Fusion 1.4 TDCi Comfort,2006,78.000 ,-,93.000 TL,Tokat
Toyota Corolla 1.6 Terra,2005,135.000 ,Gri (Gümüş),110.000 TL,Osmaniye
Ford Focus 1.6 TDCi Style,2015,109 ,-,157.000 TL,Adana
Renault Clio 1.5 dCi Joy,2016,85.000 ,-,118.500 TL,İstanbul
Skoda Favorit 1.3 GLX,1994,135.000 ,Mavi,18.500 TL,Ankara
Opel Insignia 1.6 CDTI Grand Sport Elite,2017,89.000 ,Bej,300.000 TL,Sakarya
Renault Clio 1.4 Authentique,2007,220.000 ,-,69.000 TL,Ankara
BMW 5 Serisi 520i Executive Plus,2015,54.250 ,-,485.000 TL,İstanbul
Skoda Favorit 135 LX,1995,197.000 ,Beyaz,9.100 TL,Manisa
Opel Astra 1.4 T Edition Plus,2020,600 ,Beyaz,240.000 TL,Hatay
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,2016,108.000 ,Beyaz,320.000 TL,Aksaray
Seat Leon 1.2 TSI Style,2016,108.000 ,-,132.999 TL,Adıyaman
Renault Clio 1.2 Extreme,2008,160.000 ,Gri,76.900 TL,İzmir
Skoda Felicia 1.3 GLX,1996,165.000 ,Lacivert,37.500 TL,Bursa
Tofaş Şahin 5 Vites,1993,43.000 ,Kırmızı,23.500 TL,Ankara
Opel Vectra 2.0 GLS,1995,1 ,Beyaz,37.000 TL,Ankara
Renault Clio 1.5 dCi Authentique,2010,201.000 ,Gri,66.500 TL,İstanbul
Renault R 12 TSW,1988,185.000 ,Yeşil (metalik),25.000 TL,Aydın
Renault Symbol 1.5 dCi Expression,2009,182 ,Gri,67.000 TL,İzmir
Volkswagen Passat 1.6 Trendline,2011,135.000 ,-,149.750 TL,Adana
Citroen C-Elysee 1.2 VTi Comfort,2013,170.000 ,Gri,90.500 TL,İzmir
Opel Astra 1.3 CDTI Cosmo,2012,90.000 ,-,130.000 TL,Kilis
Fiat Linea 1.3 Multijet Active Plus,2014,120.000 ,Beyaz,88.000 TL,Kayseri
Renault Clio 0.9 TCe Touch,2019,8.500 ,Beyaz,139.900 TL,Antalya
Hyundai i20 1.4 CRDi Style,2017,50.000 ,Kırmızı,175.000 TL,İstanbul
Volkswagen Polo 1.6 Comfortline,1998,350.000 ,-,43.500 TL,Yozgat
Tofaş Şahin 1.4,1998,59.000 ,Beyaz,35.750 TL,Mersin
Fiat Linea 1.3 Multijet Pop,2015,68.500 ,-,117.000 TL,İstanbul
Hyundai i20 1.4 MPI Style,2017,19.000 ,Kırmızı,178.500 TL,Trabzon
Ford Focus 1.6 TDCi Trend X,2016,81.000 ,-,186.000 TL,Aksaray
Volkswagen Jetta 1.9 TDi Primeline,2009,214.000 ,-,83.900 TL,Kütahya
Renault Megane 1.5 dCi Dynamique,2005,262.000 ,Gri (Gümüş),75.000 TL,İstanbul
Renault R 9 1.4 Broadway GTE,1994,250.000 ,-,33.500 TL,Tokat
Fiat Siena 1.4 EL,1999,175.000 ,Yeşil (metalik),40.700 TL,Kütahya
Renault Fluence 1.5 dCi Extreme,2012,205.000 ,Gri,107.500 TL,Van
Renault R 19 1.6 Europa RNE,1998,240.000 ,Mavi (metalik),37.000 TL,Ordu
Hyundai Accent 1.5 CRDi Admire,2003,246.000 ,-,42.000 TL,Şanlıurfa
Toyota Auris 1.6 Comfort,2009,101.000 ,Füme,110.000 TL,İstanbul
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,2013,180.000 ,Beyaz,188.000 TL,Hatay
Opel Astra 1.6 GL,1997,347.500 ,Beyaz,47.500 TL,Ankara
Volkswagen Golf 1.5 TSi Comfortline,2020,7.800 ,Lacivert,305.000 TL,Adıyaman
Honda Civic 1.6 i-VTEC ECO Elegance,2014,60.500 ,Siyah,203.000 TL,Ankara
Mercedes - Benz A 180 BlueEFFICIENCY AMG Sport,2016,112.000 ,Kırmızı,303.000 TL,Mersin
Volkswagen Jetta 1.2 TSi Comfortline,2014,8.175 ,Beyaz,143.000 TL,Adana
Fiat Egea 1.6 Multijet Lounge,2016,108.000 ,Kırmızı,156.500 TL,Afyonkarahisar
Skoda Fabia 1.2 TSI Style,2016,70.000 ,Kırmızı,184.000 TL,İstanbul
Opel Astra 1.3 CDTI Enjoy,2008,228.930 ,Gri (Gümüş),83.500 TL,Giresun
Hyundai Accent 1.5 1.5i GLS,2002,217.000 ,-,57.500 TL,Ankara
Tofaş Doğan SLX,1996,154.000 ,-,30.000 TL,Elazığ
Toyota Corolla 1.6 GL,1993,217.000 ,-,52.000 TL,Mersin
Opel Vectra 1.6 Elegance,2003,216.000 ,-,80.000 TL,Malatya
Chevrolet Cruze 1.6 Design Edition,2011,114.500 ,Gri (Gümüş),136.500 TL,Ankara
Renault Fluence 1.5 dCi Touch Plus,2013,170.000 ,Gri,115.000 TL,Ankara
Renault Clio 1.5 dCi Icon,2017,63 ,-,173.500 TL,İstanbul
Ford Focus 1.8 TDCi Comfort,2004,260.000 ,-,64.999 TL,Kırşehir
Renault Megane 1.5 Blue DCI Touch,2020,8 ,-,275.000 TL,Çankırı
Renault Clio 1.4 Expression,2004,104.100 ,Gri (Gümüş),74.250 TL,Şanlıurfa
Opel Vectra 1.6 Comfort,2004,275.000 ,Siyah,79.800 TL,Manisa
Skoda Favorit 1.3 Black Line,1994,183 ,-,26.950 TL,İstanbul
Toyota Corolla 1.33 Life,2015,58.000 ,-,137.000 TL,Antalya
